img_name,label,width,height,Edges,Red-Min,Red-Max,Green-Min,Green-Max,Blue-Min,Blue-Max,true_false
FT4.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT5.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT6.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT7.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT8.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT9.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT10.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT11.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT12.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT13.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT14.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT15.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT16.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT17.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT18.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT19.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FI1.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI2.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI3.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI4.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI5.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI6.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI7.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI8.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI9.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI10.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI11.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI12.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI13.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI14.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI15.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI16.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI17.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI18.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI19.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI20.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI21.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI22.jpg,false_image,640,480,0,0,255,0,255,0,255,0
FI23.jpg,false_image,640,480,0,0,255,0,255,0,255,0
